datetime,Depot,ST-296,ST-297,ST-414,ST-424,ST-425,ST-45,ST-46,ST-47,ST-50,ST-51,ST-52,ST-53,ST-55,ST-56,ST-57,ST-58,ST-59,ST-60,ST-61,ST-62,ST-63,ST-64,ST-65,ST-66,ST-67,ST-68,ST-69,ST-70,ST-71,ST-72,ST-73
2017-09-20 20:00:00,85,0,6,3,0,5,1,1,2,2,15,0,5,2,8,0,0,15,9,0,0,9,0,6,2,22,5,25,32,0,8,13
2017-09-20 20:10:00,85,1,6,3,0,5,1,2,1,3,14,0,5,2,8,2,0,15,8,0,0,8,0,8,2,23,1,25,33,0,7,17
2017-09-20 20:20:00,85,2,6,3,0,5,1,2,2,2,14,1,5,2,8,2,0,15,8,0,1,8,2,8,2,23,2,21,31,1,6,21
2017-09-20 20:30:00,85,3,6,16,0,7,1,3,2,1,0,0,5,0,8,4,0,15,8,0,1,8,3,8,2,23,1,21,31,1,6,29
2017-09-20 20:40:00,85,2,6,16,0,8,1,2,1,1,0,0,5,0,8,0,0,16,8,0,1,8,5,7,2,22,1,19,31,1,6,32
2017-09-20 20:50:00,85,1,6,16,0,8,1,0,0,1,0,0,5,0,8,2,0,16,6,0,0,6,2,9,3,21,2,20,33,1,6,34
2017-09-20 21:00:00,85,2,6,16,0,8,1,0,1,1,0,0,5,0,8,0,6,15,5,1,0,3,2,9,2,21,1,20,33,0,6,35
2017-09-20 21:10:00,85,1,11,15,0,10,1,0,1,16,0,0,5,0,8,0,0,15,5,0,0,2,2,9,2,23,2,20,33,1,6,35
2017-09-20 21:20:00,85,1,11,15,0,10,1,0,2,15,1,0,5,0,9,0,0,15,4,0,0,1,0,10,2,25,1,20,33,1,6,36
2017-09-20 21:30:00,85,1,11,15,1,10,1,0,1,15,1,0,5,0,9,0,0,16,1,1,0,1,0,8,2,24,3,20,31,0,6,40
2017-09-20 21:40:00,85,1,11,14,0,10,1,1,1,15,1,0,5,0,9,0,0,16,1,1,0,1,0,8,2,24,2,17,32,0,6,41
2017-09-20 21:50:00,85,1,10,14,0,10,1,2,1,15,2,0,5,0,9,0,0,16,1,0,0,1,0,11,2,25,2,17,32,0,7,38
